video_id,title,publishedAt,views,likes,comments
xq-Tv_3Yi8g,Trở lại cuộc sống thường ngày | Nghỉ ngơi đi chơi cuối tuần cùng mình | my20s,2022-11-02T15:15:20Z,231976,7565,512
P1sYXwyfNUQ,[sub] Nhật kí mùa hè | summer diary | my20s,2023-08-30T14:58:31Z,266684,10077,668
M9swh2Dj8Vo,THÔNG TIN DU HỌC ĐỨC 2021 | Q&A DU HỌC ĐỨC | my20s x DAAD,2021-01-24T11:22:47Z,237024,10265,758
5V4c6k-fgp4,I’m back | NHỮNG VIỆC MÌNH LÀM SAU KHI NGHỈ VIỆC | xem những khi cuộc sống khó khăn quá ;) | my20s,2023-01-28T12:59:39Z,338115,8640,482
JdK1mtGcpRE,VLOGMAS EP2 | MÌNH LÀM GÌ VÀO MÙA ĐÔNG Ở ĐỨC | Aesthetic winter activities | my20s,2022-12-18T13:00:13Z,188986,5820,372
SUe3NKeeHzk,"Daily vlog | Tự nhuộm tóc hồng, make up chụp ảnh hoa đào, pha matcha, thiết kế merch | my20s",2024-03-26T13:12:42Z,155110,5624,193
Ok7dhtzi-Tk,TIPS CHĂM SÓC CƠ THỂ ĐỂ XINH TỪ ĐẦU ĐẾN CHÂN | Q&A UPDATE CUỘC SỐNG | my20s,2022-11-08T15:00:11Z,214813,6901,280
mzFyacZgC78,MAKEOVER BAN CÔNG NHÀ MÌNH | my20s,2022-06-28T13:00:25Z,245226,9292,570
mx6fru4TxKE,"[sub] Pinterest school girl | Outfit, makeup, hairstyles | my20s",2023-09-25T14:31:29Z,175720,4981,279
uP0NbN0oTUI,LẦN ĐẦU THỬ TẤT CẢ CÁC DỊCH VỤ XỊN SÒ Ở ĐỨC | my20s,2021-06-20T13:31:05Z,270009,12612,624
y4AHmPD-U44,TUẦN ĐẦU TIÊN ĐI LÀM TRONG CUỘC ĐỜI MÌNH | my20s,2022-08-23T13:04:54Z,258592,10916,658
_aIeooZao6U,CUỘC SỐNG DU HỌC MÙA DỊCH | TRANG SAO RỒI ? CÓ VỀ VIỆT NAM KHÔNG ? | my20s,2020-03-24T13:01:35Z,376000,17180,1062
tgMv-wRVkkY,SANG Ý ĐÓN MÙA HÈ | ĐẾN THĂM THÀNH PHỐ CALL ME BY YOUR NAME | my20s,2022-04-03T12:00:09Z,485993,17340,578
jSM6NSOeAU8,MẸ BAY SANG ĐỨC ĐÓN GIÁNG SINH VỚI MÌNH 😚🎄 | CHIT CHAT VÀ TRẢ LỜI CÂU HỎI CỦA CÁC BẠN ⛄️ | my20s,2019-12-14T14:01:21Z,362218,21545,1304
jyIQc0JXaSg,YOUTUBER CHALLENGE | LÀM TẤT CẢ CÁC VIDEO ĐƯỢC YÊU CẦU TRONG 1 VIDEO 🤨 | my20s,2020-04-27T13:03:26Z,374578,19272,1266
92gfNTK4Io0,[sub] Mini Vlog | Ngày cuối của cuộc đời sinh viên | my20s,2023-07-23T12:59:46Z,138030,5345,205
dhllQgjhm40,Du học sinh đi làm thêm có đủ sống không? | 1 ngày lương đi làm mua được gì ? | my20s,2023-05-30T15:41:51Z,202407,5176,273
9AaG-hmfZH0,LÀM NHỮNG VIỆC TỪ TRƯỚC ĐẾN GIỜ MUỐN LÀM NHƯNG CHƯA LÀM.. BÂY GIỜ MỚI LÀM 🦖 | my20s,2022-06-12T15:03:08Z,248590,11475,1152
rUnGfUeRkl8,[sub] Cũng là đón giao thừa nhưng mà nó lạ lắm | Berlin Trip phiên bản e trai | my20s 🪿,2024-02-19T13:00:16Z,138734,4655,338
svfbL41FhzE,LÀM GÌ KHI TÂM TRẠNG BẤT ỔN | THESE DAYS | my20s,2022-05-13T13:04:28Z,232000,10870,1095
MV0YaOvGovE,[SUB] ĐỌC NHỮNG ĐIỀU BẠN MẶC ĐỊNH VỀ MÌNH (P2) | READING PEOPLE’S ASSUMPTIONS ABOUT ME | my20s🌶🥵,2021-01-10T13:00:44Z,278359,12481,358
y4qmx8goar0,LÀM GÌ KHI CUỘC SỐNG TRỞ NÊN BÊ BỐI 😂 | MỤC TIÊU CHO NĂM MỚI | GIVEAWAY | my20s 🧁,2020-01-12T14:04:27Z,437900,15688,945
VGv6cOQyjyE,HAUL ĐỒ VINTAGE | STORMY ĐI BÁC SĨ | CÁCH DẮT MÈO ĐI DẠO | TOUR PHÒNG LÀM VIỆC TRÊN NOTION | my20s,2021-04-24T14:56:06Z,282756,13067,543
tetTMQiZz0U,CHUYỂN VÀO NHÀ MỚI CÙNG MÌNH | 15 NGÀY VÔ GIA CƯ 😂 | my20s,2021-10-19T14:32:10Z,372849,17994,868
Uq_2IuUzLAg,Vlogmas EP3 | Lần đầu bố sang Đức thăm mình | Dọn dẹp nhà cửa | Chuẩn bị quà cho bố | my20s,2022-12-24T05:50:39Z,264892,8538,260
5RHSqpExKk0,GỢI Ý MÓN ĂN NGON CHO CẢ TUẦN | FOOD DIARY | my20s,2020-06-24T13:02:54Z,403767,16424,858
qz7YQLfmNBM,ĐI DATE 1 MÌNH | my20s,2022-05-22T15:10:01Z,197502,8698,825
gAoRy4u6Jwo,THỬ THÁCH 72 GIỜ KHÔNG DÙNG ĐIỆN THOẠI | my20s,2022-04-18T13:00:42Z,276896,11002,293
9h72NoDUpFs,10K FOLLOWERS TRÊN TIKTOK CHỈ TRONG 1 NGÀY? | TRYING TO BECOME TIKTOK FAMOUS IN 24 HOURS | my20s,2021-03-14T13:00:03Z,239018,11765,410
GirdjCrq9-8,[SUB] ĐÓN TẾT Ở ĐỨC | DIY TRANG TRÍ NHÀ | my20s 🌸,2021-02-10T13:23:37Z,340290,13408,586
oQMY7sAWymk,[sub] Kỉ niệm | Augsburg Vlog | my20s,2023-04-30T14:02:36Z,135973,5518,491
QhW8iK1WcjE,"Q&A UPDATE CUỘC SỐNG DẠO NÀY | CHUYỂN NGÀNH, CHUYỂN NHÀ | my20s 🎨",2020-10-13T13:01:37Z,229900,13383,514
ngpnF8dEkU8,Những ngày kì diệu ở Paris | Working diary | my20s,2024-10-08T16:04:07Z,81774,4219,213
a4xVPPxmtAI,[SUB] Q&A CẬP NHẬT CUỘC SỐNG | A DAY IN MY LIFE | my20s,2021-11-11T13:27:48Z,286908,12461,623
M283hdjGn9Q,[SUB] HỌC NHỒI 24 TIẾNG TRƯỚC KHI ĐI THI VÀ QUA MÔN 😉| QUA HỌC VỚI MÌNH NÀO CÁC BẠN IU | my20s,2022-02-08T13:30:46Z,202779,8633,314
QhMUNiEI4dw,TÂM SỰ CHUYỆN HỌC HÀNH | SỢ GIAO TIẾP BẰNG TIẾNG NƯỚC NGOÀI QUA ĐIỆN THOẠI 😂 | my20s,2020-02-27T11:05:09Z,114131,8062,571
FnzkbCFiMG4,CÁC SẢN PHẨM YÊU THÍCH THÁNG 5 | MÓN ĐỒ THAY ĐỔI CUỘC ĐỜI ĐI CHỢ CỦA MÌNH | my20s,2021-06-05T14:05:32Z,141308,7677,462
5Xm_Htcgwo4,HỌC HÀNH STRESS QUÁ THÌ LÀM GÌ? | STUDY WITH ME | my20s,2022-07-20T13:00:04Z,166631,6986,442
xwQFPEVsSYk,"Random thoughts | Mất động lực, không biết phải làm gì | my20s",2021-04-05T12:30:22Z,236713,11987,603
CQ_e9vfHURQ,TRANG ĐI ĐÂU LÚC 2H SÁNG ??? | BLACKPINK - HOW YOU LIKE THAT MV REACTION | my20s,2020-06-27T13:00:14Z,341755,16047,689
Mtfr8fFglAw,Q&A | NHỮNG KHÓ KHĂN KHI HỌC NGOẠI NGỮ VÀ CÁCH GIẢI QUYẾT ✊🏻 | my20s,2019-07-13T11:03:40Z,313320,16160,1107
D7iB1TcOlNA,DU HỌC ĐỨC 🇩🇪 | CÁC BƯỚC DU HỌC ĐỨC | HÀNH TRÌNH DU HỌC CỦA MÌNH | my20s ✈️,2019-02-23T17:23:17Z,359938,13681,856
9jtbR3TFbuM,1 NGÀY ĐI BÁN TRÀ SỮA Ở BERLIN | BERLIN TRIP | PART 1 | my20s,2021-07-04T13:02:18Z,354483,17886,880
__lbHS4RYBM,KITCHEN TIPS FOR THOSE WHO LIVE ALONE | WHAT I EAT IN A DAY | my20s,2021-05-03T14:00:10Z,414582,14787,573
XwZOk7zNP08,Những ngày qua... | CHILL WITH ME | my20s,2021-05-23T13:01:20Z,279470,12471,609
cK5hZVpCKUA,ANOTHER DAY IN MY LIFE | ĐƯA STORMY ĐI KHÁM 🤧 | 1 NGÀY LÀM SEN 🌷| my20s,2019-12-08T14:00:12Z,272471,12124,661
Juuy7VwzgCo,MÌNH CHUYỂN VỀ QUÊ SỐNG?!! | MOVING VLOG | my20s,2021-10-08T13:00:36Z,316353,15359,645
ZlqhbhSdMHk,"VLOGMAS EP1 | LÊN NÚI NGẮM TUYẾT, TRANG TRÍ NHÀ ĐÓN GIÁNG SINH 🎄",2022-12-10T12:59:18Z,173139,6213,507
qiMLtXuT0LE,DU HỌC ĐỨC 🇩🇪 | MỘT NGÀY CỦA DU HỌC SINH ĐỨC | A DAY IN MY LIFE | My20s,2019-03-11T10:59:24Z,388086,12240,995
NPDjpM_s9Wc,HAMBURG TRIP | WHAT’S IN MY BAG | 5 STAR HOTEL | FINE DINING | my20s,2021-08-22T14:00:28Z,233523,11045,486
_ulClGEHceo,1 THÁNG TRANG TIÊU HẾT BAO NHIÊU ? | LÀM SAO ĐỂ CHI TIÊU HỢP LÝ | CHUYỆN KIẾM TIỀN VÀ TIẾT KIỆM TIỀN,2020-03-09T07:59:26Z,299384,13825,872
ZhH-Mwa03Vo,Tập 2 | My 1st TEDx | Cuộc sống sau tốt nghiệp,2024-06-19T14:03:48Z,88615,3623,121
AErf2U1J3Q0,1 NGÀY (thực sự) CỦA YOUTUBER | A DAY IN THE LIFE OF A YOUTUBER | my20s 🎥,2020-09-07T13:14:06Z,284016,12697,695
Q7tPkE3_Py0,CÔNG VIỆC CỦA MÌNH LÀ GÌ?! | CÁCH MÌNH QUẢN LÝ THỜI GIAN ĐỂ VỪA ĐI HỌC VỪA ĐI LÀM | my20s,2021-09-28T13:07:06Z,139871,6944,345
QAxMFVTo1OM,DU HỌC ĐỨC 🇩🇪 | MỘT NGÀY CỦA DU HỌC SINH ĐỨC | A DAY IN MY LIFE | ENGSUB | My20s,2019-01-24T23:51:56Z,2431490,44845,2502
ufOTOlKx5FI,STORMY ĐI TẮM | CÁCH TẮM CHO MÈO | my20s,2020-02-16T10:00:01Z,164458,9088,734
pJgFrvEHrsI,WEEKEND GETAWAY | ĐI DU LỊCH TRONG NƯỚC ĐỨC VỚI GIÁ 9€ | my20s,2022-06-24T13:00:33Z,211006,8395,749
JoTDxU0CU2Y,"Nhật kí 1 tuần ở Hà Nội | Cafe hopping, Tufting, Getting hair extensions, Karaoke… | my20s",2023-02-18T13:02:43Z,137462,5466,308
Rk0QDhzX19k,A WEEK IN MY LIFE | THỬ THÁCH HỌC NHỒI TỪ VỰNG VỚI 4ENGLISH | my20s,2020-03-15T02:00:03Z,144846,7003,544
AYnyLCON5KM,MY BIRTHDAY VLOG | ĐI DU LỊCH 1 MÌNH CÓ GÌ VUI | my20s 🚎,2020-03-03T09:00:11Z,380483,18926,1230
KAuPG-5twvQ,1 ngày của gia đình mình ở Hà Nội | Sắm chiếc TV 4K tốt nhất cho ba mẹ | my20s,2022-11-11T13:03:11Z,169694,5843,227
OkA_Mm4tLSM,TRANG TRÍ PHÒNG TRƯỚC KÌ THI | ĐI CHỢ ĐỒ CŨ | my20s,2020-06-13T13:01:13Z,273738,12553,542
sK0MIRd633k,[SUB] ĐÓN GIÁNG SINH CÙNG MÌNH | VLOGMAS TẬP CUỐI | my20s,2021-12-30T13:19:20Z,191199,9192,345
R2oBgFzbheg,[SUB] UNBOXING IPHONE 12 PRO MAX | 1 TUẦN HỌC VÀ LÀM VIỆC CÙNG MÌNH | my20s,2020-12-11T09:40:44Z,355714,13701,720
HeWNGVXYKMo,DU HỌC ĐỨC 🇩🇪 | 1 TUẦN CỦA DU HỌC SINH ĐỨC 👩🏻‍🦳 | A WEEK IN MY LIFE | my20s,2019-03-23T11:36:30Z,550519,18154,1108
4bFnn3p3Yys,SÀI GÒN VLOG | TRIP NÀY HƠI FAIL 😅 | LOANH QUANH SÀI GÒN VỚI TRANG | my20s,2019-09-16T12:00:13Z,298455,12738,875
UAPz6Up1r4k,[SUB] ĐẾN TRƯỜNG CÙNG MÌNH | THESE DAYS | my20s,2021-11-03T13:02:54Z,258432,13120,636
4U9hGIOzrf0,DU HỌC ĐỨC 🇩🇪 | THỬ THÁCH ĐI CHỢ CHO CẢ TUẦN VỚI 20€ | NẤU ĂN CÙNG THẠCH TRANG | my20s 🥦,2019-05-12T11:33:08Z,714753,25058,904
mfERFasALLI,DAILY VLOG | HỌC NGÀNH TRUYỀN THÔNG LÀ HỌC GÌ | HỌC VÀ LÀM VIỆC CÙNG MÌNH | my20s,2022-06-01T13:01:06Z,177513,7180,369
k_nSioz-vcQ,MỘT NGÀY CỦA MÌNH VÀ EM TRAI | my20s,2022-08-07T14:01:15Z,231036,8681,548
CxFh-s4dSew,HÀNH TRÌNH SĂN NHÀ Ở ĐỨC | TIPS TÌM NHÀ | APARTMENT HUNTING | my20s,2021-09-09T13:46:06Z,408377,18505,1000
sPs3saVBJy4,FOOD TOUR HẢI PHÒNG | lòng vòng ở Hải Phòng | my20s,2022-10-18T13:02:12Z,199874,7169,315
Jmqh6AYOp2M,1 NGÀY CỦA CHÚNG MÌNH | Q&A WITH THỊ CHÚI | my20s 🦫,2021-03-24T13:27:10Z,368658,12249,441
yDLGRoGiQYI,GET READY WITH ME + Q&A | TRANG ĐIỂM HÀNG NGÀY | CÁCH ĐÁNH SON CỦA TRANG 💁🏼‍♀️ | my20s,2019-04-27T10:02:02Z,265391,10232,560
EM4SnRQ8DCM,CUỘC SỐNG CỦA TRANG MÙA THI | STORMY ĐI LẠC 😱 | my20s,2020-07-19T11:29:58Z,405357,16269,2559
ewLXtnHtSEg,ĐI CHỢ ĐỒ CŨ | MUA ĐỒ TRANG TRÍ NHÀ MỚI | HANGING OUT WITH ME IN FRANKFURT | my20s,2020-10-18T13:30:29Z,234218,11028,440
GX5XhtN6h1M,Q&A - CÙNG NHAU TRỊ MỤN | ACNE RELATED Q&A | TẤT TẦN TẬT VỀ MỤN | my20s 🥬,2019-11-17T14:59:18Z,155796,8044,666
oee2mAeOg-I,TẾT 2020 | NẤU ĐỒ ĂN TẾT | NGƯỜI NƯỚC NGOÀI NGHĨ GÌ VỀ ĐỒ ĂN TRUYỀN THỐNG CỦA VIỆT NAM | my20s,2020-01-24T14:01:02Z,304325,12120,542
_P-1Abc_jKE,[SUB] A DAY IN MY LIFE | MUA CAMERA MỚI | UNBOX ĐỒ SKINCARE | HAUL ĐỒ BẾP | my20s,2022-02-15T14:00:07Z,229077,11398,357
AveNfjY3tHc,SINH NHẬT CỦA STORMY | THROWING MY CAT A BIRTHDAY PARTY 🥳 🎈,2020-09-14T13:40:22Z,134236,7841,455
bKV3ReIoaos,CHĂM SÓC BẢN THÂN NGÀY CUỐI TUẦN | SELF CARE ROUTINE | my20s,2019-08-18T11:59:09Z,356969,17287,1168
nfMUFzl7Qq0,"[sub] Podcast | Thạch Trang hồi xưa, Thạch Trang bây giờ | TEDxBUV | my20s",2023-09-17T13:01:44Z,91441,3660,167
mkDPqAIqgJA,"[SUB] 1 TUẦN HỌC VÀ LÀM VIỆC CÙNG MÌNH l UNBOX QUẦN ÁO, TRANG SỨC, MỸ PHẨM | my20s",2020-11-22T15:11:48Z,408515,15286,840
89UW2Ol6FAI,GOING HOME VLOG 🇻🇳| CÙNG MÌNH VỀ VIỆT NAM | my20s,2022-10-04T14:30:32Z,239670,11492,447
pJsltYmRZ3s,PARIS TRIP | LẦN ĐẦU ĐI ĐU IDOL | GẶP BLACKPINK Ở SÂN BAY | my20s,2021-10-03T13:01:10Z,410354,19078,700
usycyJ90sGo,DU HỌC ĐỨC 🇩🇪 | Q&A | MỘT VÀI ĐIỀU VỀ MÌNH 😬 | My20s,2019-02-07T10:10:27Z,573041,21677,1968
kOh0O_M1lr4,[SUB] STORMY MẤT TÍCH NGÀY CUỐI NĂM 😭 | ĐÓN NĂM MỚI CÙNG MÌNH 🥲 | my20s,2022-01-05T13:00:22Z,256751,11412,478
qlCialig7So,DU HỌC ĐỨC 🇩🇪 | NIGHTTIME ROUTINE | not really studying with me 🤓 | THÓI QUEN MỖI TỐI | my20s,2019-02-15T04:10:39Z,570529,19392,1546
2I-UII2ONrs,TIPS TỰ CHỤP ẢNH NGOÀI ĐƯỜNG✨ | PRESET LIGHTROOM MỚI | TRANG EDIT ẢNH NHƯ THẾ NÀO? | my20s,2020-08-30T12:59:50Z,366822,16811,933
YKj13WG6fTo,HANGING OUT WITH ME IN HANOI | TRANG LÀM GÌ ĐẦU TIÊN SAU 3 NĂM XA HÀ NỘI | ĐI ĐU ĐƯA HONG 🥳 | my20s,2019-09-09T12:01:31Z,354833,16288,1084
y_TWbI6BTyA,[SUB] 1 TUẦN ĂN TOÀN NẤM 🍄 | NHUỘM TÓC HỒNG | SWATCH BST MỚI NHẤT CỦA OFÉLIA | my20s,2020-12-21T14:00:18Z,446050,13129,1415
tnQmA3_5X7U,THRIFT STORES Ở BERLIN | HAUL QUẦN ÁO | ĐÓN THÊM 1 EM MÈO MỚI 🧐 | BERLIN CÓ GÌ VUI | my20s,2021-07-11T13:01:44Z,344991,13278,729
HWCLBNNV3Ds,CHUẨN BỊ CHO 1 NĂM MỚI PRODUCTIVE | NHỮNG TIPS NHỎ GIÚP MÌNH QUẢN LÝ CUỘC SỐNG CÁ NHÂN | my20s,2023-01-11T12:59:55Z,153437,4853,225
LovkrlisFMw,[SUB] MUKBANG TẾT | NEVER HAVE I EVER | ĂN TẾT Ở ĐỨC CÓ GÌ? | my20s🌸,2022-01-30T13:01:00Z,204612,7502,240
uZIqmbb9Vik,DU HỌC ĐỨC 🇩🇪 | PHỎNG VẤN CÁC BẠN SINH VIÊN NƯỚC NGOÀI | HỌC Ở ĐỨC CÓ KHÓ KHÔNG ? | my20s,2019-05-26T10:06:42Z,238402,9908,491
8Mu1xMVbgdM,STUDY FROM HOME | Tối đa hiệu suất học tập với bộ ứng dụng Microsoft 365 | my20s,2021-06-13T13:59:37Z,131733,6331,375
69Ac-TuL7KQ,MỘT NGÀY CỦA MÌNH VỚI 2 ĐUỸ MÈO | MEET MY NEW KITTEN | GRAMMARLY | my20s,2021-07-26T13:00:02Z,242826,11935,673
TRKPNSez6nM,[SUB] LÀM BÁNH CHUỐI LÚC NỬA ĐÊM | my20s,2022-01-13T14:37:16Z,199874,8359,330
FNQSSbKv7f0,LẦN ĐẦU ĐI XIN VIỆC Ở ĐỨC | my20s,2022-07-12T13:00:03Z,225716,9862,547
PkWb_UAv95M,[SUB] A DAY IN MY LIFE | UNBOXING MACBOOK PRO 2020 | NGÀY ĐẦU TIÊN CỦA KÌ HỌC MỚI | my20s,2020-11-09T13:01:42Z,289943,14696,1680
5SOiCZj1HBM,MY LIPS CARE ROUTINE | CÁCH DƯỠNG MÔI HỒNG VÀ GIẢM QUẦNG THÂM MẮT | và 1 xíu daily makeup 😂 | my20s,2020-03-17T13:07:30Z,262832,15924,2974
05u7mGJNi2Q,12 TIẾNG TRÊN MÁY BAY | VỀ NHÀ ĂN TẾT | my20s,2023-02-04T13:02:29Z,165198,4942,124
_Jr4d29mQUE,TỦ QUẦN ÁO CHỈ CÓ 30 ITEMS ?! | CÁCH XÂY DỰNG TỦ QUẦN ÁO TỐI GIẢN | LUÔN CÓ ĐỒ ĐỂ MẶC 🤌🏻 | my20s,2021-09-26T13:46:13Z,259285,11801,452
HW0Vwiq_tfg,Late Night Call | Q&A update cuộc sống | my20s,2023-03-04T14:01:46Z,131658,4558,272
2_cddfTvz_I,Lần đầu bước từ Youtube ra ngoài đời =))) | Recap Meet&Greet Hà Nội | my20s,2022-10-25T13:02:20Z,85710,4676,180
NihCZhhb0-w,ĐỌC NHỮNG ĐIỀU BẠN MẶC ĐỊNH VỀ MÌNH | READING PEOPLE’S ASSUMPTIONS ABOUT ME | my20s 🌶,2020-02-09T03:30:58Z,586302,25395,1023
NnbVOPphelU,Q&A | MẸ VÀ CHỊ CHUỐI AI HIỂU MÌNH HƠN | my20s,2022-08-03T14:32:27Z,173512,7866,556
aPFlbSmfefM,"TẠM BIỆT AUGSBURG | CHUYỂN TRƯỜNG, CHUYỂN NGÀNH, CHUYỂN NHÀ, CHUYỂN MÈO | my20s 📦",2020-10-04T14:24:19Z,430336,21119,1022
-ZuFmd1zHYQ,[SUB] BIRTHDAY VLOG | HAUL ĐỒ VINTAGE CỰC ƯNG Ý 🌸 | my20s,2022-02-22T14:00:37Z,255452,11569,594
jHYfkv2eiTc,🎄OUR CHRISTMAS IN GERMANY🎄PART II🎄,2018-12-31T15:11:46Z,161972,5300,227
8m9Jp2rhRGU,DU HỌC ĐỨC 🇩🇪 | ROOM TOUR | KÍ TÚC XÁ Ở ĐỨC | THĂM NHÀ TRANG 🤗 | my20s,2019-04-20T11:51:10Z,862308,23065,1317
nNRuzM54usg,"[sub] Glow up with me | tự cắt tóc wolf, tips chỉnh dáng, makeup | my20s",2023-06-19T13:01:35Z,284433,7685,312
M1CucCVzZ1g,Bathroom makeover | Decor trang trí lại nhà tắm | my20s,2022-04-11T12:59:44Z,221651,8363,287
4k0ACIF1kB4,[SUB] Vintage Apartment Tour 2022 | my20s,2022-01-18T13:02:00Z,529922,17478,790
